,Artist,Title,Duration(m),acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence,Popularity
0,Abandon All Ships,Take One Last Breath,3.6597666666666666,0.00115,0.313,0.961,0.0,5,0.12,-4.51,1,0.193,138.721,4,https://api.spotify.com/v1/tracks/2tpQV2QzHhviFMsJWpK8bR,0.21,45
1,Adept,Death Dealers,3.3848833333333332,0.00205,0.46,0.871,0.144,5,0.566,-6.261,1,0.118,91.046,4,https://api.spotify.com/v1/tracks/1oGNZv18BpWpXx7d5PdSwc,0.211,25
2,Adept,From the Depths of Hell,3.9424333333333332,3.42e-05,0.177,0.959,1.94e-05,8,0.403,-4.964,1,0.0721,87.847,4,https://api.spotify.com/v1/tracks/6AAj9C5weV6Z5hcuxPYLKf,0.308,27
3,Adept,Hope,2.830433333333333,7.06e-06,0.387,0.947,0.172,8,0.141,-5.014,1,0.0692,97.544,4,https://api.spotify.com/v1/tracks/6jpABYYFMdYqPKP1dNtJNt,0.213,26
4,Adept,Shark! Shark! Shark!,4.323316666666667,0.000606,0.389,0.886,0.000526,7,0.338,-2.815,0,0.0816,97.798,4,https://api.spotify.com/v1/tracks/5vqLZXjnxaPL1wpJ2oY1jN,0.207,39
5,Adept,Sound the Alarm,4.644666666666667,3.97e-05,0.402,0.931,2.35e-05,7,0.35,-2.221,0,0.0561,97.62,4,https://api.spotify.com/v1/tracks/6cezG1hzez2rX6O72cwxBV,0.239,39
6,Adept,"At Least Give Me My Dreams Back, You Negligent Whore!",5.184433333333334,0.000102,0.427,0.887,7.96e-05,6,0.357,-2.419,0,0.0537,101.011,4,https://api.spotify.com/v1/tracks/7JqCTw6vmJc8jzqIXCYLhF,0.339,48
7,Adept,"Grow Up, Peter Pan",3.4793333333333334,0.00025,0.313,0.929,0.0,9,0.319,-2.787,1,0.11,200.199,4,https://api.spotify.com/v1/tracks/23xmDqTpfZzBOXq4SpPVwo,0.282,38
8,Adept,Everything Dies,6.024666666666667,5.91e-05,0.371,0.923,0.00108,9,0.357,-4.333,0,0.0753,154.982,4,https://api.spotify.com/v1/tracks/5V84CYJPs1i2Qoh3t5U5o9,0.0932,25
9,After The Burial,Lost In The Static,4.553233333333333,0.000989,0.602,0.955,0.0133,6,0.207,-4.888,1,0.154,126.009,4,https://api.spotify.com/v1/tracks/6iGXUJW99KAwbRiwxIjKPU,0.193,0
10,After The Burial,A Wolf Amongst Ravens,5.137033333333333,0.000225,0.483,0.975,0.166,1,0.128,-6.839,1,0.0526,136.019,3,https://api.spotify.com/v1/tracks/7pwkMTD1dDqHZyCuUko2Aw,0.301,49
11,All That Remains,This Calling,3.6422166666666667,1.05e-05,0.542,0.988,0.000319,2,0.317,-2.661,0,0.0878,108.061,4,https://api.spotify.com/v1/tracks/47iP5sZyWr9bZFYEohhOP0,0.25,0
12,All That Remains,Not Alone,3.5,4.74e-05,0.544,0.98,0.000768,5,0.27,-2.648,0,0.0972,102.997,4,https://api.spotify.com/v1/tracks/4B9N9yKVjE1g6BRy7nBTiB,0.291,0
13,All That Remains,The Weak Willed,4.094216666666667,0.000177,0.509,0.945,0.0425,2,0.105,-4.004,1,0.0543,105.703,4,https://api.spotify.com/v1/tracks/5eR7uepAGMF07CRaj3VEVG,0.182,0
14,All That Remains,Six,3.374,0.000121,0.241,0.961,0.00639,7,0.105,-3.466,1,0.0867,97.083,4,https://api.spotify.com/v1/tracks/5DYetPPTekzO0x1PJwA14z,0.169,0
15,All That Remains,Empty Inside,3.375766666666667,9.12e-06,0.339,0.976,0.0149,2,0.0937,-2.967,1,0.11,102.177,4,https://api.spotify.com/v1/tracks/0bVHuYFYhfI2KVIXhZ6x7I,0.318,0
16,All That Remains,For We Are Many,2.99355,0.000419,0.546,0.986,0.00175,6,0.361,-2.279,0,0.053,104.986,4,https://api.spotify.com/v1/tracks/1YjQg8FMoplbigdmBOHqqX,0.381,0
17,All That Remains,Before The Damned,2.894216666666667,0.00194,0.467,0.974,0.0092,8,0.105,-3.853,0,0.0956,171.985,4,https://api.spotify.com/v1/tracks/4aWXILqrliDWdnNX2urH7M,0.445,0
18,All That Remains,Undone,3.2066666666666666,0.00109,0.353,0.975,1.67e-05,1,0.0761,-4.216,1,0.133,195.982,4,https://api.spotify.com/v1/tracks/1fWBsarNwJ267SboQHiKN7,0.149,0
19,All That Remains,Chiron,4.4131,0.00109,0.413,0.957,0.0113,9,0.0756,-5.313,1,0.0988,103.045,4,https://api.spotify.com/v1/tracks/00uinskawJXZvfbrz7UXeN,0.14,0
20,The Amity Affliction,Pittsburgh - No Intro,3.98545,0.000133,0.386,0.943,0.0,5,0.0928,-3.033,0,0.185,148.008,4,https://api.spotify.com/v1/tracks/6RcsAN8XF5KX6mMh6dum8e,0.402,61
21,The Amity Affliction,Don't Lean On Me,3.564433333333333,9.24e-05,0.45,0.986,0.0,7,0.183,-3.544,1,0.144,141.998,4,https://api.spotify.com/v1/tracks/1X6vl2Wy5yY708C8EfRUCS,0.309,58
22,The Amity Affliction,The Weigh Down,3.5231,0.000485,0.484,0.953,0.0,7,0.235,-3.602,1,0.107,93.984,4,https://api.spotify.com/v1/tracks/63wYoblqcJImFMIIscrkPT,0.249,47
23,The Amity Affliction,Open Letter,4.342666666666666,4.57e-05,0.244,0.972,0.0,0,0.19,-4.703,0,0.156,143.521,4,https://api.spotify.com/v1/tracks/3FmozBceLhYhTXUfg2qtTv,0.184,56
24,The Amity Affliction,Pabst Blue Ribbon On Ice,4.060883333333333,4.44e-05,0.374,0.978,0.0,3,0.0903,-4.215,1,0.0962,159.943,4,https://api.spotify.com/v1/tracks/5up10YQR1AU1JVmPBzet6B,0.38,44
25,The Amity Affliction,Bondi St. Blues,4.388883333333333,0.000162,0.437,0.954,0.0,0,0.124,-3.666,0,0.0573,135.043,4,https://api.spotify.com/v1/tracks/6OvaEIqO5rUdOx3lZAQely,0.337,43
26,The Amity Affliction,Flowerbomb,3.9924333333333335,1.8e-06,0.383,0.96,1.53e-05,1,0.347,-4.203,1,0.057,164.89,4,https://api.spotify.com/v1/tracks/03fShOmxoMwFwulNoLJDJv,0.52,40
27,Architects,The Empty Hourglass,4.197933333333333,8.91e-05,0.282,0.933,0.00273,1,0.0845,-5.49,0,0.0529,176.455,4,https://api.spotify.com/v1/tracks/56FEvdSTKtKWhVKWbGmMw7,0.397,37
28,Architects,Gravity,3.301616666666667,8.45e-05,0.342,0.952,0.000367,8,0.106,-4.983,0,0.143,175.001,4,https://api.spotify.com/v1/tracks/7r6mn2ZFiJh6y7zaNkwdwd,0.31,44
29,Architects,From The Wilderness,3.74555,2.15e-05,0.239,0.942,0.000142,2,0.127,-4.626,1,0.115,186.336,3,https://api.spotify.com/v1/tracks/2fjWOrjJFlxvqxpsLUy0CO,0.17,35
30,Architects,These Colours Don't Run,4.0231,0.000614,0.237,0.969,0.00717,8,0.106,-3.845,0,0.275,119.749,4,https://api.spotify.com/v1/tracks/63Gzrq2kU1Br77l5IOEUbV,0.0511,0
31,Architects,Alpha Omega,3.9324333333333334,0.000112,0.373,0.987,0.00545,6,0.0831,-3.112,1,0.189,142.294,4,https://api.spotify.com/v1/tracks/2ertbhNn2vSRKxkubjMwbL,0.109,0
32,Architects,Doomsday,4.117016666666666,3.15e-05,0.3,0.985,0.000275,6,0.0839,-3.734,0,0.265,124.925,4,https://api.spotify.com/v1/tracks/05uxnskdh9Wx4ZOwvhlUTR,0.205,53
33,Architects,Gone With The Wind,3.763333333333333,0.000314,0.421,0.942,1.04e-06,6,0.0704,-5.289,0,0.14,77.573,4,https://api.spotify.com/v1/tracks/3F4dfVVgCVEebzMBUQ910T,0.303,18
34,Architects,Broken Cross,3.8823166666666666,3.02e-05,0.434,0.956,0.000252,8,0.119,-4.888,1,0.141,159.977,4,https://api.spotify.com/v1/tracks/5khYt7SYG94k4o8SsfWUHK,0.174,38
35,Architects,Naysayer,3.4277166666666665,6.05e-05,0.381,0.988,0.0,1,0.303,-3.651,1,0.12,92.575,4,https://api.spotify.com/v1/tracks/6Nh41sxeSi3vZOR0VCoaRS,0.191,39
36,Architects,C.A.N.C.E.R,4.3204,1.99e-05,0.508,0.98,0.000633,1,0.366,-4.294,1,0.0799,112.497,4,https://api.spotify.com/v1/tracks/7wDNU4hUfNusCTHwHEz2QF,0.21,34
37,Architects,Castles In The Air,3.7100666666666666,1.48e-05,0.338,0.959,3.55e-05,9,0.404,-3.984,1,0.109,194.9,4,https://api.spotify.com/v1/tracks/0l1uTLUmtnwuxcvN60XVfn,0.406,31
38,Architects,A Match Made In Heaven,3.8002833333333332,4.97e-05,0.517,0.977,0.00129,7,0.105,-4.627,1,0.0741,121.503,4,https://api.spotify.com/v1/tracks/3pz8g6W2Oi5yUrXSc2D4KS,0.135,21
