,Artist,Title,Duration(m),acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence,Popularity
0,The 1975,Chocolate,3.744,0.0041,0.591,0.944,0.0,11,0.385,-4.325,1,0.0544,100.124,4,https://api.spotify.com/v1/tracks/44Ljlpy44mHvLJxcYUvTK0,0.713,65
1,The 1975,The Sound,4.148,0.096,0.643,0.945,7.71e-06,0,0.495,-4.66,1,0.0779,120.723,4,https://api.spotify.com/v1/tracks/316r1KLN0bcmpr7TZcMCXT,0.526,66
2,3 Doors Down,When I'm Gone,4.3417666666666666,0.00457,0.496,0.765,0.0,7,0.104,-5.66,1,0.033,74.072,4,https://api.spotify.com/v1/tracks/3WbphvawbMZ8FyqDxYGdSQ,0.337,67
3,3 Doors Down,Here Without You,3.976,0.0537,0.536,0.55,0.0,10,0.134,-6.733,0,0.0248,144.018,4,https://api.spotify.com/v1/tracks/3NLrRZoMF0Lx6zTlYqeIo4,0.234,69
4,3 Doors Down,Still Alive,2.6991,0.000296,0.426,0.959,0.509,11,0.201,-4.248,0,0.056,169.948,4,https://api.spotify.com/v1/tracks/3Q7BHIhobJEHPtyzwSyEB2,0.59,41
5,The Almost,Say This Sooner,3.236666666666667,0.00651,0.572,0.967,0.0,4,0.076,-3.733,0,0.0967,121.008,4,https://api.spotify.com/v1/tracks/7waZfrpjfOYktwulz6fo02,0.527,46
6,The Almost,Southern Weather,3.481333333333333,2.85e-05,0.349,0.963,0.0,2,0.37,-3.448,1,0.0791,173.876,4,https://api.spotify.com/v1/tracks/1TmQeJsndr5Yk5H2670T8k,0.488,39
7,Arctic Monkeys,Do I Wanna Know?,4.5399,0.186,0.548,0.532,0.000263,5,0.217,-7.596,1,0.0323,85.03,4,https://api.spotify.com/v1/tracks/3jfr0TF6DQcOLat8gGn7E2,0.405,21
8,AWOLNATION,Run,4.027583333333333,0.725,0.686,0.665,0.687,1,0.268,-10.214,1,0.0449,137.92,4,https://api.spotify.com/v1/tracks/2wIC3jqtTK78zQMdj1DRLu,0.672,60
9,Band of Horses,The Funeral,5.352433333333333,0.0142,0.316,0.769,0.0,0,0.0928,-5.283,0,0.0422,122.507,4,https://api.spotify.com/v1/tracks/4o0NjemqhmsYLIMwlcosvW,0.127,71
10,Bastille,Pompeii,3.5691166666666665,0.078,0.681,0.715,0.0,9,0.275,-6.318,1,0.0388,127.429,4,https://api.spotify.com/v1/tracks/3gbBpTdY8lnQwqxNCcf795,0.593,71
11,Bastille,Bad Blood,3.54355,0.0131,0.664,0.79,0.0156,5,0.08,-5.467,0,0.0364,143.004,4,https://api.spotify.com/v1/tracks/2HHiH52OPxe8qyVO7N4uH7,0.939,53
12,Bastille,Good Grief,3.44155,0.18,0.727,0.768,0.0,1,0.204,-4.849,1,0.068,120.047,4,https://api.spotify.com/v1/tracks/1oxOiOjsi7plNOZEhoPLPj,0.89,61
13,The Black Keys,Howlin' For You,3.1966666666666668,0.0299,0.708,0.737,0.0804,11,0.101,-6.665,0,0.0943,132.612,4,https://api.spotify.com/v1/tracks/5jdvRj8zXHJ7XpKsBKT9CZ,0.476,64
14,The Black Keys,Your Touch,2.709766666666667,0.8,0.532,0.768,2.01e-05,4,0.377,-8.698,0,0.0551,116.026,4,https://api.spotify.com/v1/tracks/5lJUXSjRjevVy7I3P87wuK,0.698,50
15,Cage The Elephant,Ain't No Rest for the Wicked,2.9248833333333333,0.0438,0.634,0.849,0.0,0,0.363,-7.075,1,0.105,156.004,4,https://api.spotify.com/v1/tracks/3kb72STxc2959ZqsTwu52i,0.919,73
16,The Classic Crime,The Coldest Heart,3.654,0.00121,0.345,0.833,0.0,0,0.336,-5.232,0,0.0383,200.2,4,https://api.spotify.com/v1/tracks/1ZjlJhszI9nBsWrv0HeL5c,0.767,37
17,Coldplay,Speed Of Sound,4.7984333333333336,0.00491,0.523,0.898,0.0345,11,0.0746,-6.765,0,0.0567,123.085,4,https://api.spotify.com/v1/tracks/7clUVcSOtkNWa58Gw5RfD4,0.355,68
18,A Day To Remember,All Signs Point to Lauderdale,3.2866666666666666,0.000263,0.42,0.983,0.0,10,0.114,-3.437,1,0.113,149.958,4,https://api.spotify.com/v1/tracks/15qf0H31MChhqKr2zvejla,0.513,65
19,A Day To Remember,Better Off This Way,3.4393333333333334,9.33e-05,0.379,0.965,0.0,4,0.371,-3.442,1,0.0975,160.057,4,https://api.spotify.com/v1/tracks/5TtOrriDfiamVEKrls2GIT,0.565,60
20,A Day To Remember,Out of Time,3.4422166666666665,3.52e-05,0.405,0.976,0.0,0,0.271,-3.36,1,0.0874,160.115,4,https://api.spotify.com/v1/tracks/6cXx0xrCrTNzFZIHTxpinC,0.346,51
21,A Day To Remember,If I Leave,3.4031,0.000122,0.409,0.989,0.0,9,0.356,-4.115,1,0.143,154.986,4,https://api.spotify.com/v1/tracks/73CczWVa3cudmlTAgOwKXv,0.228,51
22,A Day To Remember,This Is the House That Doubt Built,3.50555,0.000505,0.285,0.946,0.0,11,0.0826,-3.874,0,0.0843,182.882,3,https://api.spotify.com/v1/tracks/6B4tKjUOWE9NhdpxB2NVDf,0.2,52
23,A Day To Remember,It's Complicated,2.954,0.000204,0.199,0.935,0.0,1,0.0628,-3.471,1,0.157,195.012,4,https://api.spotify.com/v1/tracks/069deq5woglvUnWok4MqTe,0.637,57
24,Death Cab for Cutie,Soul Meets Body,3.82355,0.0767,0.621,0.853,3.26e-06,2,0.0893,-5.735,0,0.0253,128.142,4,https://api.spotify.com/v1/tracks/5yc59J3MR3tVDPTOgwgRI5,0.714,60
25,The Downtown Fiction,I Just Wanna Run,3.33265,0.00769,0.669,0.667,0.0,4,0.0983,-3.0,1,0.0511,128.103,4,https://api.spotify.com/v1/tracks/3WLLJzllBEgPiSA0qd3BN3,0.69,49
26,Fall Out Boy,Centuries,3.806,0.004,0.385,0.866,0.0,4,0.111,-2.817,0,0.0697,176.014,4,https://api.spotify.com/v1/tracks/04aAxqtGp5pv12UXAg4pkq,0.551,73
27,Fall Out Boy,I Don't Care - Single Version,3.574883333333333,0.00166,0.521,0.936,1.51e-05,6,0.656,-3.532,0,0.0676,133.973,4,https://api.spotify.com/v1/tracks/7ewT0nLFkMD8ONbRibePr9,0.505,60
28,Fall Out Boy,"Sugar, We're Goin Down",3.818216666666667,0.00898,0.499,0.824,0.0,7,0.163,-4.741,1,0.0794,161.977,4,https://api.spotify.com/v1/tracks/2TfSHkHiFO4gRztVIkggkE,0.699,74
29,Fall Out Boy,"This Ain't A Scene, It's An Arms Race",3.534,0.000623,0.601,0.888,0.0,9,0.0475,-4.018,1,0.0396,100.033,4,https://api.spotify.com/v1/tracks/1oagRT7LfpVlNJN6FSZDGp,0.4,59
30,Fitz and The Tantrums,HandClap,3.2208833333333335,0.00609,0.636,0.836,0.000157,8,0.0828,-3.004,1,0.0427,139.956,4,https://api.spotify.com/v1/tracks/7j56HrjR9cGzvekvZY3Faz,0.715,65
31,Fountains Of Wayne,Stacy's Mom,3.2997666666666667,0.0021,0.774,0.75,1.85e-05,11,0.0808,-4.927,0,0.0413,118.015,4,https://api.spotify.com/v1/tracks/27L8sESb3KR79asDUBu8nW,0.925,74
32,The Fray,How to Save a Life,4.37555,0.269,0.64,0.743,0.0,10,0.101,-4.08,1,0.0379,122.035,4,https://api.spotify.com/v1/tracks/5fVZC9GiM4e8vu99W0Xf6J,0.361,81
33,fun.,We Are Young (feat. Janelle Monáe),4.1771,0.02,0.378,0.638,7.66e-05,10,0.0849,-5.576,1,0.075,184.086,4,https://api.spotify.com/v1/tracks/7a86XRg84qjasly9f6bPSD,0.735,69
34,fun.,Some Nights,4.617333333333334,0.0178,0.672,0.738,6.75e-05,0,0.0927,-7.045,1,0.0506,107.938,4,https://api.spotify.com/v1/tracks/6t6oULCRS6hnI7rm0h5gwl,0.392,73
35,Gin Blossoms,Follow You Down,3.7871,0.012,0.494,0.913,0.0,4,0.0702,-6.22,0,0.0477,155.88,4,https://api.spotify.com/v1/tracks/5yVqBhvmi3sBahhaSYpl27,0.663,56
36,Gnarls Barkley,Crazy,3.0344333333333333,0.0172,0.835,0.741,0.0577,8,0.0826,-1.609,1,0.0339,111.963,4,https://api.spotify.com/v1/tracks/2N5zMZX7YeL1tico8oQxa9,0.612,73
37,Gorillaz,Feel Good Inc,3.7106666666666666,0.00836,0.818,0.705,0.00233,6,0.613,-6.679,1,0.177,138.559,4,https://api.spotify.com/v1/tracks/0d28khcov6AiegSCpG5TuT,0.772,81
