,Artist,Title,Duration(m),acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence,Popularity
0,10 Years,Wasteland,3.8311,0.000426,0.391,0.801,0.000208,6,0.0662,-5.102,0,0.0813,146.729,4,https://api.spotify.com/v1/tracks/3pO37BXsjMC2wApALxGbuB,0.341,63
1,10 Years,Beautiful,3.264883333333333,0.00227,0.497,0.748,0.0,6,0.136,-4.5,1,0.0332,131.944,4,https://api.spotify.com/v1/tracks/6AgtIN7FyBd4zJhZI7mrsz,0.274,50
2,10 Years,Shoot It Out,3.328,0.00442,0.47,0.889,2.47e-06,6,0.379,-3.879,1,0.0747,164.111,4,https://api.spotify.com/v1/tracks/6TghWaPh1WHJKWXow7iujH,0.295,48
3,10 Years,Fix Me,3.5973333333333333,0.00148,0.444,0.832,0.0,1,0.0891,-3.857,0,0.0343,158.007,4,https://api.spotify.com/v1/tracks/60OKW0mZiPFHVpHl3eHueg,0.246,56
4,12 Stones,Anthem For The Underdog,3.0737666666666668,0.000651,0.2,0.863,0.0,5,0.339,-3.424,1,0.0626,93.977,3,https://api.spotify.com/v1/tracks/6FFwt1ea9hJ4MfMQLywahm,0.468,50
5,Acceptance,In Too Far,2.89155,0.000672,0.423,0.885,0.0,1,0.106,-4.003,1,0.0481,75.192,4,https://api.spotify.com/v1/tracks/6qmWUrLqtHXy7C2UBDEDQh,0.628,43
6,Adelitas Way,Invincible,3.1688833333333335,0.000213,0.405,0.962,2.31e-06,11,0.108,-4.894,1,0.0842,170.023,4,https://api.spotify.com/v1/tracks/4FthwGFz9SVZgCVqxNXsSK,0.489,60
7,AFI,Miss Murder,3.4431,0.000213,0.309,0.875,0.00168,1,0.113,-4.49,1,0.0488,143.526,4,https://api.spotify.com/v1/tracks/0Ti2dlF2xLjXblvdU5fCxM,0.725,66
8,AFI,Girl's Not Grey,3.1748833333333333,0.00982,0.425,0.91,4.05e-05,8,0.2,-4.369,0,0.0388,121.585,4,https://api.spotify.com/v1/tracks/3fttmSWGThBQTNkuHMoCTN,0.693,56
9,Alice In Chains,Them Bones,2.4911,0.0235,0.159,0.946,8.06e-06,9,0.387,-5.756,1,0.0629,164.997,1,https://api.spotify.com/v1/tracks/4A065x9kJt955eGVqf813g,0.309,62
